component_name,phrase,reps,phrase_component_tickets,phrase_len,reps_total,phrase_tickets,iam_users_count,tickets_per_component,importance,precision,recall,f1,row
string,string,int64,int64,int32,int64,int64,int64,int64,double,double,double,double,int32
compute.GPU,увеличение квота gpu,5,5,3,12,7,7,445,0.4166666666666667,0.7142857142857143,0.011235955056179775,0.02212389380530973,14
compute.GPU,установить драйвер,4,4,2,8,5,5,445,0.5,0.8,0.008988764044943821,0.017777777777777778,18
compute.GPU,nvidia smi,10,5,1,17,7,6,445,0.5882352941176471,0.7142857142857143,0.011235955056179775,0.02212389380530973,8
compute.GPU,gpu можно,4,4,2,7,5,5,445,0.5714285714285714,0.8,0.008988764044943821,0.017777777777777778,19
compute.GPU,runtimeerror cuda error,5,5,3,7,7,6,445,0.7142857142857143,0.7142857142857143,0.011235955056179775,0.02212389380530973,16
compute.GPU,cuda capable,6,5,2,9,7,5,445,0.6666666666666666,0.7142857142857143,0.011235955056179775,0.02212389380530973,9
compute.GPU,доступ gpu,5,4,2,12,5,5,445,0.4166666666666667,0.8,0.008988764044943821,0.017777777777777778,20
compute.GPU,gpu tesla,5,5,2,10,5,5,445,0.5,1,0.011235955056179775,0.02222222222222222,2
compute.GPU,capable devices,6,5,2,9,7,5,445,0.6666666666666666,0.7142857142857143,0.011235955056179775,0.02212389380530973,7
compute.GPU,gpu здравствуйте хотеть,5,5,3,11,6,6,445,0.45454545454545453,0.8333333333333334,0.011235955056179775,0.022172949002217293,3
compute.image,образ iso,5,5,2,6,5,5,203,0.8333333333333334,1,0.024630541871921183,0.04807692307692307,3
compute.image,iso образ,21,12,2,30,14,14,203,0.7,0.8571428571428571,0.059113300492610835,0.1105990783410138,1
compute.image,iso добрый,5,5,2,6,6,5,203,0.8333333333333334,0.8333333333333334,0.024630541871921183,0.04784688995215312,5
compute.image,загрузка образ добрый,6,6,3,9,8,8,203,0.6666666666666666,0.75,0.029556650246305417,0.05687203791469195,2
compute.image,свой iso,7,5,2,12,6,6,203,0.5833333333333334,0.8333333333333334,0.024630541871921183,0.04784688995215312,4
compute.image,образ снимка,4,4,2,11,5,5,203,0.36363636363636365,0.8,0.019704433497536946,0.038461538461538464,7
compute.instance groups,instance group здравствуйте,7,7,3,14,8,6,270,0.5,0.875,0.025925925925925925,0.050359712230215826,3
compute.instance groups,для группа виртуальный,4,4,3,8,5,5,270,0.5,0.8,0.014814814814814815,0.02909090909090909,8
compute.instance groups,deleting instance,8,4,2,10,5,5,270,0.8,0.8,0.014814814814814815,0.02909090909090909,7
compute.instance groups,удалить instance,4,4,2,9,5,5,270,0.4444444444444444,0.8,0.014814814814814815,0.02909090909090909,12
compute.instance groups,instance group добрый,9,9,3,19,12,12,270,0.47368421052631576,0.75,0.03333333333333333,0.06382978723404256,1
compute.instance groups,удаление группа виртуальный,5,5,3,6,5,5,270,0.8333333333333334,1,0.018518518518518517,0.03636363636363636,4
compute.instance groups,удалить группа виртуальный,9,7,3,12,8,8,270,0.75,0.875,0.025925925925925925,0.050359712230215826,2
compute.instance groups,создание группа виртуальный,7,5,3,23,7,7,270,0.30434782608695654,0.7142857142857143,0.018518518518518517,0.036101083032490974,6
compute.nbs,утилизация диск,13,7,2,16,8,6,687,0.8125,0.875,0.010189228529839884,0.02014388489208633,18
compute.nbs,чтение диск,8,8,2,14,11,11,687,0.5714285714285714,0.7272727272727273,0.011644832605531296,0.022922636103151862,14
compute.nbs,проблема диск,33,28,2,58,40,38,687,0.5689655172413793,0.7,0.040756914119359534,0.07702888583218706,1
compute.nbs,запись диск,18,14,2,35,20,18,687,0.5142857142857142,0.7,0.020378457059679767,0.039603960396039604,7
compute.nbs,проблема дисковый,9,9,2,22,12,11,687,0.4090909090909091,0.75,0.013100436681222707,0.025751072961373387,12
compute.nbs,производительность диск,25,19,2,40,24,24,687,0.625,0.7916666666666666,0.027656477438136828,0.053445850914205346,3
compute.nbs,fio,25,12,1,37,14,14,687,0.6756756756756757,0.8571428571428571,0.017467248908296942,0.03423680456490727,8
compute.nbs,ioengine,13,9,1,18,10,10,687,0.7222222222222222,0.9,0.013100436681222707,0.02582496413199426,10
compute.nbs,скорость ssd,11,8,2,13,8,7,687,0.8461538461538461,1,0.011644832605531296,0.02302158273381295,13
compute.nbs,скорость диск,12,12,2,24,17,17,687,0.5,0.7058823529411765,0.017467248908296942,0.03409090909090909,9
compute.nbs,libaio,10,7,1,15,8,8,687,0.6666666666666666,0.875,0.010189228529839884,0.02014388489208633,19
compute.nbs,диск возможный,17,14,2,22,15,15,687,0.7727272727272727,0.9333333333333333,0.020378457059679767,0.039886039886039885,6
compute.nbs,iodepth,13,9,1,18,10,10,687,0.7222222222222222,0.9,0.013100436681222707,0.02582496413199426,11
compute.rdp,система неудачный,5,5,2,7,6,6,252,0.7142857142857143,0.8333333333333334,0.01984126984126984,0.03875968992248061,6
compute.rdp,rdp windows,7,6,2,14,8,8,252,0.5,0.75,0.023809523809523808,0.04615384615384615,2
